,I Value,Core Number,CPU Percentage,RSS in GB,VMS in GB,Memory,Total Memory Consumed
0,0,4,6.0,0.0,0.0,0.9,0.0
1,1,4,7.0,0.0,0.0,0.9,0.0
2,2,4,7.0,0.0,0.0,0.9,0.0
3,3,4,8.0,0.0,0.0,0.9,0.0
4,4,4,8.0,0.0,0.0,0.9,0.0
5,5,4,8.0,0.0,0.0,0.9,0.0
6,6,4,9.0,0.0,0.0,0.9,0.0
7,7,4,9.0,0.0,0.0,0.9,0.0
8,8,5,0.0,0.0,0.0,0.9,0.0
9,9,0,0.0,0.0,0.0,0.9,0.0
10,10,0,0.0,0.0,0.0,0.9,0.0
11,11,0,0.0,0.0,0.0,0.9,0.0
12,12,0,1.0,0.0,0.0,0.9,0.0
13,13,0,2.0,0.0,0.0,0.9,0.0
14,14,0,2.0,0.0,0.0,0.9,0.0
15,15,0,2.0,3.125e-05,0.0016250000000000001,0.9,0.0016562500000000002
16,16,0,3.0,0.00128125,0.002,0.9,0.0032812500000000003
17,17,0,3.0,0.00796875,0.00803125,0.9,0.016
18,18,0,3.0,0.014968750000000001,0.01603125,0.9,0.031
19,19,0,4.0,0.03090625,0.03203125,0.9,0.0629375
20,20,0,5.0,0.062875,0.06403125,0.9,0.12690625
21,21,0,5.0,0.12675,0.12803125,0.9,0.25478125
22,22,0,7.0,0.2545,0.25603125,0.9,0.51053125
23,23,0,8.0,0.51,0.51203125,0.9,1.02203125
24,24,0,3.0,1.0230625,1.02403125,0.9,2.04709375
25,25,0,9.0,2.047,2.04803125,0.9,4.09503125
26,26,0,1.0,4.0951562500000005,4.09603125,0.9,8.191187500000002
