type,circularityFilter,circularity,areaFilter,min,max,Tested,Counted
5 FACE SEAL,TRUE,0.76,TRUE,120,700,,
8 FACE SEAL,TRUE,0.75,TRUE,120,700,,
16 FACE SEAL,TRUE,0.76,TRUE,120,700,130,130
3 CU-PLATED,TRUE,0.7,TRUE,60,700,,
5 CU-PLATED,TRUE,0.7,TRUE,60,700,200,200
8 CU-PLATED,TRUE,0.76,TRUE,120,900,200,200
16 CU-PLATED,TRUE,0.76,TRUE,120,700,,
3 SOLDER,TRUE,0.7,TRUE,60,700,200,200
5 SOLDER,TRUE,0.7,TRUE,60,700,,
16 SOLDER,TRUE,0.7,TRUE,60,700,,
8 SOLDER,TRUE,0.7,TRUE,60,700,,
3 FLARE,TRUE,0.7,TRUE,60,700,,
5 FLARE,TRUE,0.7,TRUE,60,700,,
8 FLARE,TRUE,0.75,TRUE,120,900,200,201
16 FLARE,TRUE,0.76,TRUE,120,700,,
